	Timestamp	Price	MarketCap	TotalVolumes	TimestampMod	date	year	month	day	hour	minute	second
114	1690156800000	24.773703505475776	10018814299.162062	345569811.4364157	1690156800.0	2023-07-24 00:00:00	2023	7	24	0	0	0
115	1690243200000	23.422633571179617	9455689036.354588	517091585.3710577	1690243200.0	2023-07-25 00:00:00	2023	7	25	0	0	0
116	1690329600000	23.267716629540782	9395875459.492481	362056307.62913954	1690329600.0	2023-07-26 00:00:00	2023	7	26	0	0	0
117	1690416000000	25.1519878372353	10171319431.282724	682755887.4427278	1690416000.0	2023-07-27 00:00:00	2023	7	27	0	0	0
118	1690502400000	25.093488053679394	10151894149.311943	493788462.55482113	1690502400.0	2023-07-28 00:00:00	2023	7	28	0	0	0
119	1690588800000	24.825803970620775	10051629238.612888	354454914.9621894	1690588800.0	2023-07-29 00:00:00	2023	7	29	0	0	0
120	1690675200000	25.16504796989767	10178962394.375273	266002736.55053675	1690675200.0	2023-07-30 00:00:00	2023	7	30	0	0	0
121	1690761600000	24.266784359176683	9816173591.432625	354202895.00340414	1690761600.0	2023-07-31 00:00:00	2023	7	31	0	0	0
122	1690848000000	23.75665877952372	9604285334.638874	401006374.0008301	1690848000.0	2023-08-01 00:00:00	2023	8	1	0	0	0
123	1690934400000	23.92554655853081	9663629338.746136	433930052.9370583	1690934400.0	2023-08-02 00:00:00	2023	8	2	0	0	0
124	1691020800000	23.134812664080517	9376125922.103199	426945357.6898426	1691020800.0	2023-08-03 00:00:00	2023	8	3	0	0	0
125	1691107200000	22.654451935469393	9178003135.366844	375514604.6347747	1691107200.0	2023-08-04 00:00:00	2023	8	4	0	0	0
126	1691193600000	22.809920321126338	9237548520.05844	387384158.1790491	1691193600.0	2023-08-05 00:00:00	2023	8	5	0	0	0
127	1691280000000	22.62509186558245	9155491618.929426	256370671.0600972	1691280000.0	2023-08-06 00:00:00	2023	8	6	0	0	0
128	1691366400000	23.16031151415157	9384285772.437752	338171013.5108157	1691366400.0	2023-08-07 00:00:00	2023	8	7	0	0	0
129	1691452800000	23.05200017950495	9344630841.913843	386012925.76220214	1691452800.0	2023-08-08 00:00:00	2023	8	8	0	0	0
130	1691539200000	24.203816824917432	9819635413.27439	561549883.4110975	1691539200.0	2023-08-09 00:00:00	2023	8	9	0	0	0
131	1691625600000	24.384610250755937	9894698836.091352	458039680.48740876	1691625600.0	2023-08-10 00:00:00	2023	8	10	0	0	0
132	1691712000000	24.61887321060917	9982518848.598183	352124557.44548595	1691712000.0	2023-08-11 00:00:00	2023	8	11	0	0	0
133	1691798400000	24.57980986376842	9969763672.692484	337807060.84393805	1691798400.0	2023-08-12 00:00:00	2023	8	12	0	0	0
134	1691884800000	24.891819066984105	10095650763.649355	277306903.1224978	1691884800.0	2023-08-13 00:00:00	2023	8	13	0	0	0
135	1691971200000	24.223294007901522	9839554742.689486	278182091.4448637	1691971200.0	2023-08-14 00:00:00	2023	8	14	0	0	0
136	1692057600000	25.14772487652887	10211324982.836502	388025853.4511116	1692057600.0	2023-08-15 00:00:00	2023	8	15	0	0	0
137	1692144000000	23.875641318375827	9697572470.820595	452521516.469082	1692144000.0	2023-08-16 00:00:00	2023	8	16	0	0	0
138	1692230400000	22.846367700285874	9300306072.046394	495294920.8187228	1692230400.0	2023-08-17 00:00:00	2023	8	17	0	0	0
139	1692316800000	21.646961802699884	8833375790.376423	656412528.1823697	1692316800.0	2023-08-18 00:00:00	2023	8	18	0	0	0
140	1692403200000	21.330196240480664	8681695608.57574	412220153.69078887	1692403200.0	2023-08-19 00:00:00	2023	8	19	0	0	0
